frac_train,lamb,pp_train_mean,pp_train_std,pp_test_mean,pp_test_std,jorg_train_mean,jorg_train_std,jorg_test_mean,jorg_test_std
0.1,0.01,17142.207806295195,16377.69673239386,17155.632759414228,16279.799742872496,23816.472579714726,23848.986251942057,23871.977719382667,23633.366263150787
0.1,0.05,169.74912792978054,158.20141257676792,169.55745137845375,156.99076342088412,231.64189307030003,225.45044280625189,231.56660465133513,222.1281791549649
0.1,0.1,25.087958739344696,24.788002733709167,25.101682947395094,24.537201552756787,34.163525034387554,34.36022147642066,34.19603605099969,33.99100936440797
0.1,0.3,1.2894644948843375,1.213285377614324,1.2874425928115842,1.1957330695079855,1.7375728406349404,1.7054498403300797,1.7389956208617292,1.6930038985684384
0.1,0.5,0.37170653550611527,0.31698805282114656,0.37210446260043256,0.3161563965472664,0.49458923100542607,0.4471369483450373,0.4937698859328281,0.4444860808238143
0.1,0.7,0.1906616851672543,0.15109130218937694,0.1899212720691877,0.1500978698301725,0.24120363531763278,0.20635202319676366,0.2410335072995859,0.2064184784942939
0.1,0.9,0.12671938151064413,0.08605078706698176,0.12655456115805008,0.08721962277661079,0.1532603866550153,0.11456579609710286,0.15298730556073842,0.11527749025862502
0.1,1.0,0.1100779031648568,0.07236146531803855,0.10967656812946618,0.07291824067945238,0.13298458004621663,0.09502742992890052,0.1326244501876339,0.09578396646061972
0.1,1.1,0.10031580650610875,0.059871085139352936,0.10010000299657047,0.060873684217799304,0.11709782568577651,0.08008759638598305,0.11669023156428916,0.08044517531579506
0.1,1.3,0.08757096884075763,0.04488800707659187,0.08773647778963849,0.046075635676193806,0.0983226226638829,0.05745551150258373,0.09804053935132136,0.05835103814840177
0.1,1.5,0.08048284147847704,0.03636986607049524,0.08040625956259483,0.037245845683125674,0.08804396299610431,0.045167478947026586,0.08819432841498179,0.046517845352490074
0.2,0.01,4333.719893249175,4131.828266386036,4337.575986904648,4082.8670568413345,5915.343093298402,5853.869100238447,5908.366825037879,5778.095745887048
0.2,0.05,42.461078707514886,39.90507915732567,42.5829950032013,39.6965591574707,58.80661114326691,55.17205431898277,58.75586556923471,55.27648248739958
0.2,0.1,6.259539914310662,6.012374877723537,6.260522206549421,5.976060261182165,8.665004213050997,8.47771871220206,8.650306876371276,8.256303116969463
0.2,0.3,0.35848002310612676,0.3141631852885525,0.35667500566052596,0.31232510389391904,0.47423942224219484,0.431332908371717,0.47171419983163587,0.42793777137930933
0.2,0.5,0.12847734886046436,0.08920675689558207,0.12694348173845954,0.0897516633004906,0.15505624980958782,0.1187785427688243,0.1533559390844416,0.11917949238220259
0.2,0.7,0.08658658062600241,0.04766324171099748,0.08512716966127158,0.048049432558464,0.09896143027459853,0.060835129119972645,0.09753833920179245,0.0609697534779585
