d,n,lamb,pp_train_mean,pp_train_std,pp_test_mean,pp_test_std,jorg_train_mean,jorg_train_std,jorg_test_mean,jorg_test_std
10,10,0.01,3880151.6774124894,4886028.824693718,3833195.5572618875,4732657.097082948,6410921.7709720135,10117483.643701669,6384225.722596167,9914346.439362433
10,10,0.05,38694.36704772759,49804.951762017285,38538.906318325666,47749.445912158015,61483.71464425079,101236.1411797999,62024.45520545802,101164.751226278
10,10,0.1,5648.230144667061,7344.900003306459,5663.247206524532,7192.369470161495,9262.909587884391,14044.329141847795,9170.826213302771,13813.085604205968
10,10,0.3,285.46621132585136,358.82597414247334,284.0397242701908,347.7223561562652,478.6852799638194,761.0247291556319,478.251301337276,755.7963471251406
10,10,0.5,74.29508060209979,94.34941290221855,75.01133121188887,92.84738302706238,125.54815963140125,205.44812793462688,124.99241516542628,201.250210377129
10,10,0.7,32.23153249147276,42.00385420640678,31.866652601624967,40.518563206493916,52.363986072304186,79.7470181253661,52.672896791849475,79.50102533775302
10,10,0.9,17.002967968098154,21.300929254109857,16.801029353783935,20.79411779014092,27.595743885478704,44.48793532853073,27.725783292568796,44.741612216600856
10,10,1.0,13.077753096796684,17.008960475108793,12.94109395943541,16.550620605803907,21.437537046420918,34.01992438355858,21.32627653161401,33.6777969911199
10,10,1.1,10.225464073686618,13.350021929621,10.251140219914378,13.01877921636308,17.05354505317227,28.09191987750771,17.09994166286228,28.10082921672982
10,10,1.3,7.054198530580757,9.164357654684355,6.939392079291911,8.845954305132958,11.222122629659966,18.123750046823645,11.041995316298154,17.404530540986322
10,10,1.5,4.9976575340058345,6.386659991765078,4.936304030054412,6.15613960440757,7.9824386518902175,12.980541308090183,7.962008937992605,12.792563826801645
10,50,0.01,157240.373570104,198776.04869959678,157784.6212213997,203697.28831195517,222005.1648626257,310908.81316580175,222071.76717253495,316119.84877631883
10,50,0.05,1579.4641626972384,1960.5294895909562,1581.3299570488768,2019.8538939741672,2241.834275730175,3073.4586855521866,2245.006811514316,3123.650864712601
10,50,0.1,231.00343813377825,296.2621395388821,231.28362350210008,300.55483929626547,327.4548576325658,443.66771314443423,328.1975433958168,456.1862229741708
10,50,0.3,11.90613644319648,15.243400320454876,11.92398746851706,15.702935739156343,16.24930945567549,21.472172989938972,16.320173612084588,22.221664943515428
10,50,0.5,3.211125576984792,4.239756894009619,3.194978722204143,4.298257333492885,4.421323641660749,6.001477198409118,4.404555502586842,6.169909706002623
10,50,0.7,1.4482442451654174,1.8021855318598825,1.4200861172266475,1.7988775615603259,1.9818784845350539,2.5876627281821643,1.9526903025807416,2.618804947888105
10,50,0.9,0.8608478046077663,1.067877709968759,0.8348205713262968,1.0674282743584766,1.1262645792187225,1.491526537976476,1.099785467341364,1.4985661129138703
10,50,1.0,0.6938858389318081,0.8543543242317091,0.6659872179550043,0.8379836870941783,0.9229403732222016,1.1682719740760221,0.8974040901232595,1.1735624763640606
10,50,1.1,0.6192875150543133,0.738881823270434,0.5899614708188141,0.7224233713600574,0.7923303036518924,0.9893770734724872,0.7663031430367475,0.9810166194227947
10,50,1.3,0.5159723305484576,0.596171868471721,0.48458942048942116,0.5827016107745288,0.627219701205382,0.7521709035591324,0.5964732554264872,0.7394577084563414
10,50,1.5,0.44684633439260135,0.46206180474662856,0.4129688458344266,0.44597928170756035,0.5304867392613861,0.612114197025066,0.4973571429707061,0.5941345974736135
10,100,0.01,39942.57246190578,48196.66889617049,39985.01173357288,48527.127989578636,55155.64006033386,70419.24340134901,55242.46639103973,70923.76433825059
10,100,0.05,392.6775432690579,490.68476103054536,393.1793646513737,495.7332644121086,545.3982224149271,686.2176517142178,545.707342115836,690.3284764722835
10,100,0.1,57.09959780808969,71.4123041982832,57.19050558260901,71.63145473096232,78.29882265547097,100.1463671473083,78.19946201359767,100.37875894546482
10,100,0.3,2.9655471788907213,3.7076017771192,2.9525830434071487,3.716573804972577,4.0836986446584485,5.185069762207036,4.077322992645915,5.191557502741039
10,100,0.5,0.8671737744911592,1.0641866065339147,0.8607640929819786,1.0637918759102036,1.1378953379382186,1.445202306835982,1.130807122973717,1.4441217111677083
10,100,0.7,0.4532509310019851,0.5454544305021153,0.4442078846017718,0.5396293501164235,0.5712308102025382,0.690333180190269,0.5626916839383944,0.6873605193434105
10,100,0.9,0.3298116582100762,0.3521409350495782,0.3196615558194222,0.3470108543688989,0.3942017106001211,0.42836052074906716,0.38372454416960977,0.4218295140796981
10,100,1.0,0.31171350481990834,0.3059689427538259,0.3005928705863551,0.300312902523673,0.34922255697625887,0.3682448817786649,0.33887333985397233,0.3620079193844216
10,100,1.1,0.28983998762502583,0.26666228104168177,0.27845625643352506,0.26031449591887856,0.333316339998593,0.335067248923914,0.32198168407116673,0.32942597517628197
10,100,1.3,0.27970353366376227,0.21745887466495054,0.2676321174936267,0.2120464862128752,0.30329643817047663,0.265442074359366,0.2915017056666815,0.26048068058039614
10,100,1.5,0.2859208429218533,0.19305212437174205,0.2732477304613819,0.1887317357037442,0.2955051828548741,0.22439323908060435,0.2829313353988973,0.21926066326732133
10,200,0.01,10312.69970791099,12934.832342190104,10279.719698669249,12577.077264330712,13754.431901453492,17930.51330580704,13748.307539327776,17465.67201339729
10,200,0.05,100.86597074484087,131.6361277014583,101.02027212636999,128.754667143642,136.19524970582748,174.08225954344798,136.1413703013213,169.7661302692185
10,200,0.1,14.531023108009677,18.83411479283922,14.539833370647125,18.271310544912048,19.97247413898714,25.601199144615983,19.93630103835524,24.84936044000821
