frac_train,N_train,lamb,pp_train_mean,pp_train_std,pp_test_mean,pp_test_std,jorg_train_mean,jorg_train_std,jorg_test_mean,jorg_test_std
0.1,120,0.01,13513685.128881294,12708268.946817892,13626732.067781998,12666703.955550043,22576007.468641948,23244074.1514243,22763943.86374168,23289718.06706483
0.1,120,0.05,118379.7517193139,114293.10867235863,119701.63408112829,114405.19991305693,192913.77187466092,196771.08401152195,194000.42328613062,195782.95293752657
0.1,120,0.1,15691.07251071176,14909.75500371048,15808.587550557351,14724.050385867926,25798.959764267434,26798.368541100255,25977.168660196454,26822.499374105682
0.1,120,0.3,650.9198545202044,631.5946602619521,657.3209926402919,629.1615509452374,1060.5135917054233,1074.0489315435493,1073.3314995086175,1085.295113756947
0.1,120,0.5,152.49128383948917,142.49013333718733,153.67474087074945,141.9972775897175,252.32542055115346,251.30639898851462,254.47233951700701,250.90549779893507
0.1,120,0.7,60.399139300403164,59.10642441119975,60.68661720927132,58.60573222779368,97.82732817016559,101.42686513149843,98.72420347747477,101.49435126952163
0.1,120,0.9,29.237237064986967,27.491672581807553,29.47168139086436,27.271754026273175,47.55078243316973,48.7081302950109,48.0412497306119,48.85484038279189
0.1,120,1.0,22.02131040510626,20.65386592480032,22.199864718924424,20.606884407789416,35.39493546912597,36.41968072486323,35.696509771077565,36.10415071114702
0.1,120,1.1,17.44476404923982,16.772835350415193,17.568487100616867,16.74651602688722,27.555647104669507,27.067563161912922,27.825932063692616,27.192844678440387
0.1,120,1.3,10.762581166545205,10.069361070731023,10.831205711298528,10.124595934573174,17.392696266404272,17.482310717533384,17.568991231028512,17.637607224418414
0.1,120,1.5,7.343345899025421,6.94387782467981,7.408161592994875,6.946711781469929,12.036375618338015,12.269872262882204,12.13649621926653,12.319841831490589
0.2,240,0.01,3515962.4524305672,3563962.0236577955,3528516.5217522704,3538005.9088693666,5613689.018090866,5688634.677522608,5641691.176711081,5626154.695317546
0.2,240,0.05,30405.716199690967,29491.71563642013,30578.962374386967,29477.0140045413,48209.250186822734,47942.15494309161,48458.8115498041,47864.06622126453
0.2,240,0.1,3972.4776966678173,3904.9410598090667,3993.1440143789605,3869.632246498237,6223.496360650447,6071.593665742074,6256.09024234835,6092.330606938835
0.2,240,0.3,167.7024712500847,160.84090403081825,168.30617422339563,159.26093352671865,263.3497010083997,259.0257778978156,265.5834892248454,261.2432739601488
0.2,240,0.5,38.89197015101784,36.44526218867079,39.113946813909614,36.700708360523755,61.42022119564734,61.35193115080907,61.804200187793306,60.71451438863146
0.2,240,0.7,15.026471504840558,14.344691544301934,15.082776538925318,14.126755821154187,24.168996399134656,23.539289370920343,24.274662046092914,23.47519946562044
0.2,240,0.9,7.557434017978387,7.063891163460044,7.59385331123162,7.031460693255831,11.929867463139734,11.588270808613053,11.980148340174122,11.475712285915813
0.2,240,1.0,5.59758235184661,5.461471942953937,5.6294007237388435,5.4292538156000685,9.017613167196656,8.86138717819998,9.031980945199567,8.754007235414859
0.2,240,1.1,4.38414198900599,4.314258499551091,4.4063840306917585,4.326898508336409,6.849468918551179,6.8202141332995785,6.8557699140723285,6.764250355603662
0.2,240,1.3,2.7450575614855106,2.5432503400478588,2.7500995424077903,2.526776594977069,4.334034925048392,4.25485867472502,4.346497441923556,4.221670614898859
0.2,240,1.5,1.8627569652104088,1.7174533730039936,1.8651772261238224,1.708388224119498,2.9934877199102097,3.0227647056690237,2.9970264242922227,2.9914541843572824
0.30000000000000004,361,0.01,1561868.6095826065,1494743.0958958373,1558881.0890811875,1482495.8567618334,2449490.1261270917,2345903.6015427727,2442955.6831676275,2324849.47988692
0.30000000000000004,361,0.05,13398.858928488338,13111.168609687598,13372.939952650222,13013.04809404517,21064.54031136108,19995.259590081838,21036.111986178566,19787.037364405896
0.30000000000000004,361,0.1,1766.794630915535,1678.080321136081,1759.154831252142,1661.1381049933243,2799.965955917034,2710.6013136695674,2796.906433994025,2690.5898166679135
0.30000000000000004,361,0.3,74.503098813687,72.12334133961974,74.15539904556972,71.01915473780251,115.47685889125806,111.61546816137155,115.15547599429965,110.03100175326979
0.30000000000000004,361,0.5,17.538972697688482,16.64391629865967,17.47877791006475,16.487608357231696,27.61652744667399,26.805601460711436,27.505017083353305,26.65446012602794
0.30000000000000004,361,0.7,6.729630485029929,6.474908540853347,6.712557723677546,6.407281464030048,10.600876828594998,10.029030347230433,10.551259922450367,9.93452240678265
0.30000000000000004,361,0.9,3.3278576371171127,3.1040553628291954,3.317473944510544,3.077241432357893,5.369637182845124,5.17261012782408,5.359319449351482,5.122430013276518
0.30000000000000004,361,1.0,2.5334560980597627,2.385287130132032,2.526737953901281,2.3783856993418864,4.0109943506427514,3.917091903556783,3.994231797088488,3.8599775958358946
0.30000000000000004,361,1.1,1.9195371287286664,1.7726373920258855,1.916114352028207,1.7635635238929375,3.0609158425830496,2.881740728499545,3.056628560220469,2.8394343654846756
0.30000000000000004,361,1.3,1.2641032582308362,1.1831037851124246,1.2622905471214947,1.183550299835398,1.9185424833030886,1.8118653734961883,1.9125499675770916,1.79658446973681
0.30000000000000004,361,1.5,0.8625853407680193,0.8008876954693425,0.8625402515541304,0.7941814795609304,1.3378017745799666,1.2577746183095615,1.3365989495392427,1.2534297760082036
0.4,481,0.01,881359.5118402556,842176.3093171256,880554.50309963,837353.5678056647,1380301.2427183597,1322804.7742398197,1379822.2644904056,1311836.2785961134
0.4,481,0.05,7716.607063740599,7313.625700135819,7713.277542899865,7262.3430614370955,11979.883107157124,11470.088005951304,11988.010986641557,11468.058179883481
