d,n,lamb,pp_train_mean,pp_train_std,pp_test_mean,pp_test_std,jorg_train_mean,jorg_train_std,jorg_test_mean,jorg_test_std
10,100,1.3,9.391473678273089,11.670286990153212,8.772271022863713,10.777844113392272,13.27235273957036,17.992471765548483,12.36693720705955,16.449102891756123
10,100,1.5,6.619591933357959,8.440232096161838,6.162085194364623,7.696753772069642,8.910319012014867,11.941065283812334,8.335480223231547,11.121161935367306
10,200,0.01,3038284.945571925,3866973.1030286704,3230583.944715616,4137247.2819493567,4055111.629220389,5299274.71801952,4308966.285157324,5645282.049025368
10,200,0.05,25039.95923313196,31533.124253688256,26666.52141548836,33770.630124096,34791.28160299887,45351.25036325755,37026.180236563065,48501.69959168011
10,200,0.1,3413.54462985757,4506.165571006419,3632.5667777407043,4824.966502504884,4590.80372805369,5894.017155216837,4887.388033517458,6328.6862429758985
10,200,0.3,141.35739513585983,180.51940337387924,150.2288701730027,192.34292037529784,198.1599466669717,261.2733088788357,211.16428347885426,278.65021085920984
10,200,0.5,32.99171213415181,41.09443226259697,35.15559271186848,43.822701553263755,45.8436661647587,59.907162589217094,48.70427318253775,63.69283436688401
10,200,0.7,12.920163074151832,16.773216757270532,13.796521567570872,18.071566802818396,18.10676701866356,23.761782266783058,19.250772634281816,25.23391182250894
10,200,0.9,6.4191560612936795,8.180515660577111,6.836055347711757,8.735310276141604,8.822187956325568,11.35424044927637,9.402190289930456,12.142208063938307
10,200,1.0,4.791407286256822,5.899437942284525,5.109675046961741,6.332513134871498,6.631302626038264,8.521444957981252,7.063218226609822,9.119783887431904
10,200,1.1,3.712818199786501,4.681019271458384,3.960781997645797,5.03918053799615,5.1840983299192,6.698595605646617,5.534433004673172,7.183279943946246
10,200,1.3,2.3761004904418432,3.16064945489359,2.5346962942636093,3.4087892686757955,3.2878026246914516,4.39559689325981,3.501656408206156,4.682592823646705
10,200,1.5,1.6118177976273957,2.0231218264168054,1.7212196979076848,2.1725917046545433,2.165969490107336,2.6993865822293297,2.310462769519256,2.8827062516961863
20,10,0.01,19132895135.31847,22919302384.610775,21108007228.42808,28625815905.262478,32786005275.11806,50370063602.493546,36110576793.724365,61255781294.06411
20,10,0.05,164310656.9079524,204780704.4031989,182939936.24673218,256336331.24686897,272247169.5537807,429967672.063548,300711699.05042684,520713854.83320904
20,10,0.1,21100626.042467475,26133385.62245957,23479718.50937008,32898455.697815668,34380876.226590686,51921004.255777955,38066529.391917385,63638679.239871904
20,10,0.3,848274.7941730832,1043921.1528877675,947655.1759399538,1300631.3653434906,1402792.945479445,2132907.671600838,1547686.9160691418,2583039.314998192
20,10,0.5,197940.6322130128,243365.25510239988,221417.9850191081,309111.0284754206,333939.48583557224,514881.5525885027,366378.746968228,620017.0843473107
