d,n,lamb,pp_train_mean,pp_train_std,pp_test_mean,pp_test_std,jorg_train_mean,jorg_train_std,jorg_test_mean,jorg_test_std
10,10,0.1,768.2562243625018,473.3705608499128,668.9480156507378,461.14081903914837,893.3304430711694,599.9032738612951,781.3427553189274,578.9463213425787
10,10,0.5,76.76566912444352,46.44438379475253,66.89988204038794,45.33802562297055,90.02333281236622,61.868716065383964,78.46044068826819,59.45332907974715
10,10,1.0,29.23851006737563,18.380380602214824,25.404762723969714,17.862891803836835,33.40268505733282,22.096872666709107,29.18102924009424,21.54888014975505
10,10,3.0,6.562341330606742,4.0043839373882495,5.707871882635755,3.9109876697354813,7.6695779810443305,5.129594219603736,6.748251257371623,5.018580100506146
10,10,5.0,3.39839225269795,2.0777807976344316,2.951734019219727,2.0402254716571786,3.9464327461214546,2.670907585970314,3.4506449557444596,2.543991084785028
10,10,10.0,1.3974099131865323,0.8645211185120528,1.2154803427527172,0.8463393219648009,1.6115149697936804,1.0587299884443577,1.4054973998175926,1.0229371588966747
10,10,30.0,0.33838994093303865,0.1940358893957731,0.2741282662056204,0.18538207439176155,0.38624946535077553,0.2446087618577366,0.3206957060610056,0.23337509658160532
10,10,50.0,0.21961185522569873,0.11206765698665788,0.15601619108662368,0.10109143324224566,0.24558649413256098,0.13738451564970158,0.17941444584405702,0.1263342500420302
10,10,70.0,0.18394087283916596,0.0821812856567695,0.11219326940884246,0.06957317424980759,0.19842509590467403,0.09774042290089281,0.12832943844542957,0.08602105943349729
10,10,100.0,0.16634135724543886,0.060448677602903525,0.08707619805282348,0.0483625175740739,0.17422588475142842,0.06962119314329625,0.09708843338891443,0.0593958442994831
10,10,250.0,0.1573689184883166,0.025637286327447762,0.06404306282493391,0.020646422400920374,0.15852310847109824,0.029830064952633784,0.06595760099058148,0.02377765257400373
10,10,500.0,0.1571202889240394,0.012727559040327553,0.061618919812653425,0.01093804944431029,0.1572225445815795,0.015378545953594754,0.06193018517062238,0.012901474512841474
10,10,750.0,0.15729562676590464,0.008509754456130508,0.061270164293356424,0.007325467245743092,0.15741414513054472,0.010161824433163557,0.06162707799020886,0.008702477350996536
10,10,1000.0,0.15730412439999278,0.006462023988650369,0.06126456580348905,0.005598058466850022,0.15745295866858233,0.0076043435225152094,0.06142843862645005,0.006555251830884278
10,50,0.1,166.04357375777093,96.17057487712158,165.61786578119552,96.35535936675481,182.36762229327277,107.8193277579401,182.66822679326035,107.58992350438263
10,50,0.2,60.98899537649074,35.47225790764859,61.04949288362366,35.28143461615937,67.34401331988728,39.69595252471198,67.37832134344607,39.631497469740175
10,50,0.5,16.66753214337088,9.773637325323552,16.700492113274052,9.745997152623419,17.982964021990878,10.635426307186895,17.98585067015279,10.614544357420531
10,50,1.0,6.267936619332382,3.6995939523617225,6.259992550712506,3.6692996932665367,6.949051664294803,4.113333918392446,6.94551278465082,4.104268797802143
10,50,3.0,1.4304774123107895,0.834587092754292,1.429784027359413,0.8309589116684731,1.5746559360921477,0.9162483054586494,1.5778332355326132,0.9157901619868055
10,50,5.0,0.7412840824014787,0.4215612820785364,0.7401141806726701,0.4168703067507176,0.8245320565463226,0.48871651860614607,0.823119530488097,0.48406342293615
10,50,10.0,0.35648851205197996,0.19949275917898007,0.3480441748200082,0.18935338341365482,0.38661081898556626,0.21993410804489094,0.3778110075627034,0.20999821443749145
10,50,30.0,0.24681476065844946,0.06392797835524394,0.21941824909033047,0.05810030002684068,0.24721383247374096,0.07041713008752212,0.2206020886943856,0.06359548928777196
10,50,50.0,0.25199508820346445,0.03559570277544826,0.22252094210045026,0.03313805875544245,0.25268779858510615,0.03946927100444774,0.2232170837709653,0.03669161786600122
10,50,70.0,0.2551297068992387,0.024337026436740357,0.22502259817128614,0.02275862929419466,0.25629488990902266,0.02740535992440506,0.22623750864408115,0.025604483187905237
10,50,100.0,0.2583136059880294,0.01647052270811348,0.22787440952157373,0.015432464239263843,0.2585529873889224,0.018615325162278432,0.22813255232053412,0.017428020280962093
10,50,250.0,0.2623304393707714,0.006308899128901917,0.23150730968150088,0.005926816736899682,0.26234666481707214,0.006974413782035679,0.23154437457593371,0.006554780974454015
10,50,500.0,0.26374539455443724,0.0030479687837876015,0.23281498834450276,0.0028727732583306333,0.263738263271292,0.0034266980589905617,0.23280292433952637,0.0032249438612042625
