d,n,lamb,pp_unw_train_mean,pp_unw_train_std,pp_w_test_mean,pp_w_test_std,jorg_unw_train_mean,jorg_unw_train_std,jorg_w_test_mean,jorg_w_test_std
10,10,0.01,6770382.323267777,8920368.353856213,6844423.309090866,9754281.990924267,18410534.176792793,38737972.72316584,18427217.988789994,38933381.17645955
10,10,0.05,66672.96251654206,84429.69401705406,66967.9697234497,92933.60580426839,178651.125317269,375525.66027254495,176015.02637045304,382112.6103356932
10,10,0.1,9852.805599175836,12936.823096960725,9830.257296410946,13514.961721992993,26895.936250220806,56351.30693451134,26879.98842441387,60872.83372631914
10,10,0.3,498.11470554017035,664.0222766019881,499.05566916339535,707.1492712577951,1276.0266040290765,2651.3299184468924,1287.2482574857345,2953.944282058184
10,10,0.5,133.00864378609066,170.19192584862915,132.02380402335277,181.30761608534849,355.2066394468831,747.6748800839715,354.26934248345196,793.2091095043181
10,10,0.7,54.82649636739813,71.19464130239562,54.93078530942156,75.06512830390615,151.61624069716893,326.24395622999504,147.95835137904064,323.8026015896015
10,10,0.9,28.539900969666324,36.73573500767283,28.393592209005288,38.57571036789788,79.99549668759956,163.34255258584218,79.64711771450771,174.10154067440135
10,10,1.0,22.546319305249384,29.331654503096395,22.751154039266428,31.672984395129458,58.84940833001763,121.9263764071739,58.51103174316547,124.27546791634062
10,10,1.1,17.87385584397036,23.55389010555811,18.03697018429996,26.03039352444228,47.183579277605695,103.13608184784329,46.20115736775136,104.82573387708916
10,10,1.3,12.090385020339266,15.759958027857662,12.061616107350652,17.128743772883656,32.14902364878201,69.11390954171748,31.825219888611755,69.46320174842441
10,10,1.5,8.545909374183733,11.180099580954248,8.629326432212165,12.317883849948448,22.243273136049027,47.932614861839006,22.13933855097348,52.059652239348125
10,50,0.01,320448.47964894015,379735.33443437424,319814.1554175422,410668.6291289935,568107.8313238677,842267.8916047968,566671.579172323,904274.3473553577
10,50,0.05,3192.2418350852863,3941.2455892258995,3193.4330994232305,4291.9429967651895,5519.5907289934885,7753.692226385581,5537.759411966664,8389.879314866797
10,50,0.1,458.2603292743698,563.9361500718301,457.98759144119055,612.9443664631356,804.8694254385367,1122.0746130899774,806.0624468792934,1204.8311461066307
10,50,0.3,24.049947745665534,30.301592873227538,24.075573452272884,32.934965372874096,40.83701567100509,58.0186747082517,40.74264148266448,61.5903371599619
10,50,0.5,6.292370161147816,7.918056804147641,6.293008119315588,8.579055203514203,10.94922681113037,15.838303308400523,10.94854122915496,17.48493554277919
10,50,0.7,2.768366539608397,3.2679783831499534,2.7725314215863555,3.518431744724805,4.660567373541482,6.405783938904553,4.665211618000696,6.945980966721172
10,50,0.9,1.5936765675863214,1.962661657749049,1.5872883552325472,2.127110438909046,2.614290960673224,3.8435777278690564,2.6034159155088834,4.126978431745505
10,50,1.0,1.2447955027910331,1.4612111161478873,1.2368040185058358,1.5645182334997425,2.0144747883459595,2.7773090324837386,2.0072350826041174,2.966786416985685
10,50,1.1,1.0485795991115778,1.2438859518247234,1.0464556902447864,1.342341277093468,1.650695723396886,2.4328021955130343,1.635263313392456,2.5185153411526167
10,50,1.3,0.792073288458699,0.9089145233307129,0.7851190733654324,0.9657433377895157,1.2084651552684018,1.6598024526522492,1.206356482540134,1.7803132116985882
10,50,1.5,0.6445607623088976,0.7043880394394757,0.6397308389237479,0.7463669329557227,0.9144768636375846,1.1346860880765595,0.9101093819424455,1.2073995477218893
10,100,0.01,86186.18033206282,109399.48841157599,86219.41426318507,111029.04053597429,143614.7500465728,202697.05898044002,143406.55857759854,204900.1650570157
10,100,0.05,840.8565195239285,1067.5802053802838,841.9698502864234,1084.2783431049631,1419.0829746809177,1887.152204852264,1420.6406698792764,1925.5866306289386
10,100,0.1,123.85177242614247,166.7566686441736,123.73508525548917,169.97214565770062,203.33823742848554,273.59225030625396,203.08289123302353,277.02576260913685
10,100,0.3,6.151490856879446,7.833061715929232,6.143871798533837,7.916842323517816,10.923100762379681,15.731745011984902,10.94666963181034,15.957919047330666
10,100,0.5,1.734643154351494,2.1671115942943318,1.7481800293776506,2.225990289566306,2.820079534656276,3.815087806225177,2.834529606899027,3.8812259452318894
10,100,0.7,0.8174802322175626,1.0008788310997039,0.8304776321040137,1.0276906349719181,1.2924036349236308,1.7772428339938324,1.3080787687673,1.8100287134385042
10,100,0.9,0.5290648174526981,0.632135282744431,0.5436634493518163,0.6516788553090785,0.7702055111934218,1.0307315608997925,0.7870520060992849,1.0568953709726159
10,100,1.0,0.4464772938486054,0.5159843705406071,0.4610878140564114,0.5329316110932796,0.6483761255439852,0.8117933192057994,0.6643515801782551,0.8385682572647718
10,100,1.1,0.4117747577992858,0.4580623295050868,0.42726429864816085,0.4731369994690703,0.5614430186171425,0.712983798757019,0.5774394523508424,0.7293448662863709
10,100,1.3,0.35772741179637996,0.35332759941140685,0.3748155768513961,0.3665658717917559,0.4490199045482307,0.49141377966704486,0.46602901596661506,0.5065637826216792
10,100,1.5,0.33885633946546406,0.29305274669719245,0.3567893193378438,0.3049857409926038,0.41082112880763505,0.431399896272917,0.429489694862303,0.4478777995278105
10,200,0.01,21585.724538500963,26371.378347285743,21597.285053457003,26626.950985788786,34908.140934152674,44325.37731148047,34914.87800967688,44734.267664184736
10,200,0.05,214.93867408214734,262.0528915155088,215.01613952893163,265.55452095230294,349.70969599880243,452.27597719549476,349.6057001199388,454.64041901647954
10,200,0.1,30.816595993563467,39.245313257208025,30.825585732551296,39.733215258764474,49.17540281484119,60.755443644088565,49.15221482405461,61.495679433061696
