d,n,lamb,unreg_pp_test_mean,unreg_nonpp_test_mean,reg_pp_test_mean,reg_nonpp_test_mean,unreg_jorg_max_test_mean,unreg_jorg_avg_test_mean,type1_nonpriv_loss,reg_jorg_max_test_mean,reg_jorg_avg_test_mean,type2_nonpriv_loss,unreg_pp_test_std,unreg_nonpp_test_std,unreg_jorg_max_test_std,unreg_jorg_avg_test_std,reg_pp_test_std,reg_nonpp_test_std,reg_jorg_max_test_std,reg_jorg_avg_test_std,unreg_pp_baseline_test_mean,unreg_jorg_baseline_test_mean,jorg_baseline_test_mean,unreg_pp_baseline_test_std,unreg_jorg_baseline_test_std,jorg_baseline_test_std
30,100,0.01,1390962937.5850008,1188197215154.4312,1450718932.3722367,1240871968577.384,2167492158.266192,4081793630.731492,1.1185383581407654e-31,2202621813.564916,4229071513.5023127,0.0003232824621705341,1566158385.24577,1366039723059.4224,2641229950.177133,4749661379.706047,1656472540.4443913,1427052373380.9104,2667103940.2223516,4795542622.830303,1.1185383581407654e-31,1.1185383581407654e-31,1180546285873.9639,0.0,0.0,1360650995033.5593
30,100,0.1,1507499.8419603014,1313643755.4061396,1955955.4447335373,1695603842.5639763,2259345.5399091127,4365492.472694519,1.1185383581407654e-31,2999636.340340641,5765687.086016433,0.0015952648027544084,1744497.3285379433,1508476317.329423,2688738.7697179383,5337839.158272859,1779955.8171210831,1548823386.2036579,2928593.310421927,5309380.280021763,1.1185383581407654e-31,1.1185383581407654e-31,1332619180.338799,0.0,0.0,1506449434.616445
30,100,0.5,13818.330804553136,12070421.83490642,35088.91359248704,29406111.652583662,21118.24802035755,38821.36347810807,1.1185383581407654e-31,53363.83722359059,100433.60542071164,0.0024629283267185147,15706.524121946442,14025663.259659005,25573.834323120995,44631.13249105103,20399.29858893681,16653073.929668043,34912.71565489846,58915.146824021795,1.1185383581407654e-31,1.1185383581407654e-31,11874157.388690108,0.0,0.0,13746624.443411887
30,100,1.0,1884.94553138424,1619148.0623273952,7594.745280191118,6497721.637247207,2815.904933072762,5520.099885575789,1.1185383581407654e-31,11628.335611337536,22070.286698769934,0.002679452776172477,2168.3948764826573,1821905.8345801593,3400.237907690616,6406.110973184919,3470.985382883802,2974258.7682726867,6189.960578488754,10702.753908703195,1.1185383581407654e-31,1.1185383581407654e-31,1625931.1043672992,0.0,0.0,1849631.1888272665
30,100,3.0,87.03219463293425,74340.00969814433,873.7537851326326,746892.2815783395,133.67352388285252,247.74757134164386,1.1185383581407654e-31,1326.3124272832888,2534.4229534500014,0.0029697303477896485,98.18981134626507,84641.61069515342,164.37225582418097,283.52285099145627,333.0254851729238,286410.59182032436,633.9517310827024,1021.282246072738,1.1185383581407654e-31,1.1185383581407654e-31,72638.13017944538,0.0,0.0,83068.5840781049
30,100,5.0,21.24772494484574,18238.268080744983,345.056302510851,297615.1851433888,32.974983277229796,61.31148672418841,1.1185383581407654e-31,529.5921505233111,1003.1066094183935,0.0031124110794561294,24.292942248221383,20968.195253677066,40.698114964234954,71.27501564187054,131.77403800833963,110777.16582937205,248.75105602290927,401.750412341563,1.1185383581407654e-31,1.1185383581407654e-31,18601.826948073685,0.0,0.0,21949.868708170197
30,100,7.0,8.503234242435834,7496.718814285155,192.18971459399663,165665.04325746035,13.13091392283598,24.63128206031069,1.1185383581407654e-31,293.4476421152138,556.0337535420217,0.0032085196672042063,9.62500195071604,8817.266197195006,16.387931782248774,28.830409389799446,70.94405294995558,62003.49408103036,135.3867446102802,218.23239902631107,1.1185383581407654e-31,1.1185383581407654e-31,7381.293135037093,0.0,0.0,8580.295549542867
30,100,10.0,3.357051390354185,2842.3926489114397,105.75171367852911,90097.51418252588,5.066709777762497,9.605153651776469,1.1185383581407654e-31,161.03311546297496,304.13724502616293,0.003307947994254655,3.789730070632306,3217.686988810419,6.1907433537066066,11.15534715817278,39.29753305635383,33419.91105322553,75.61010707571961,122.20344188769177,1.1185383581407654e-31,1.1185383581407654e-31,2900.005971605462,0.0,0.0,3343.9805423916505
30,100,15.0,1.1851697452256151,997.9124146037922,54.24819127993642,46707.216421154764,1.7598764932484865,3.310452798255826,1.1185383581407654e-31,83.09922070589988,156.74253640808593,0.003412125550935463,1.3437097356196845,1147.7946170452599,2.0889049851316925,3.756603238099077,20.083662041624027,17142.34463631008,38.819676446849165,60.931898685434426,1.1185383581407654e-31,1.1185383581407654e-31,1002.7141037134254,0.0,0.0,1157.244204038978
30,100,20.0,0.5662783546080318,477.34357691054066,34.392198598819746,29483.45218169849,0.8559188945050944,1.6138716410998486,1.1185383581407654e-31,51.930038410434996,99.64172169046422,0.0034774073697792095,0.6488933257154701,547.8189081501297,1.0331222951111796,1.877887145223181,12.754993402064557,10955.016330712398,24.447165395431867,38.94739076308812,1.1185383581407654e-31,1.1185383581407654e-31,483.5484756704351,0.0,0.0,554.5515141483108
