d,n,lamb,pp_baseline_test_mean,unreg_pp_baseline_test_mean,unreg_jorg_baseline_test_mean,pp_train_mean,pp_test_mean,jorg_train_mean,jorg_test_mean,jorg_baseline_test_mean,pp_train_std,jorg_train_std,pp_baseline_test_std,unreg_pp_baseline_test_std,pp_test_std,unreg_jorg_baseline_test_std,jorg_baseline_test_std,jorg_test_std
30,100,22000.0,0.0035327357997341885,4.5224206412010456e-32,4.5224206412010456e-32,0.003525432875424716,0.003531094945422865,0.0035268624009048336,0.0035328103768381865,0.0035322653299475946,9.567593489064971e-06,3.994235039830589e-05,6.228767523710119e-05,0.0,1.4858393349453748e-05,0.0,6.292672499086336e-05,6.232557238909856e-05
30,100,23000.0,0.0035325582596372157,4.5224206412010456e-32,4.5224206412010456e-32,0.0035254639477986325,0.0035311174573998054,0.003526595331746436,0.0035324440965816173,0.003532425496653566,9.116192530693833e-06,3.836972891925403e-05,6.045152807344602e-05,0.0,1.4143404473794576e-05,0.0,6.0033550998107633e-05,6.003906001975418e-05
30,100,24000.0,0.003531995100749668,4.5224206412010456e-32,4.5224206412010456e-32,0.0035255325159144705,0.003531221946043332,0.0035269807149026044,0.0035328812883267057,0.003532097550437581,8.73644695295951e-06,3.708295307109379e-05,5.7399502544106884e-05,0.0,1.3570098348939966e-05,0.0,5.740286848503007e-05,5.756356544648039e-05
30,100,25000.0,0.0035317412696617935,4.5224206412010456e-32,4.5224206412010456e-32,0.00352562569573131,0.0035314960431876295,0.003526100049824892,0.0035315657958620043,0.0035321220494390487,8.335982482092322e-06,3.528077324090669e-05,5.479615993550846e-05,0.0,1.2876315849524078e-05,0.0,5.425792105274067e-05,5.5083049800860024e-05
30,100,26000.0,0.0035317955953017744,4.5224206412010456e-32,4.5224206412010456e-32,0.003525374648925532,0.0035310809189673313,0.0035265636128186833,0.003532521872888816,0.0035317982824291335,8.137510674820021e-06,3.3990787963228776e-05,5.290969914166905e-05,0.0,1.2667367807931822e-05,0.0,5.2467596430460654e-05,5.248357155406031e-05
30,100,27000.0,0.0035327749147601763,4.5224206412010456e-32,4.5224206412010456e-32,0.0035253599586681033,0.0035310129849527635,0.0035268213980766943,0.003532905998109719,0.0035318322210249435,7.754872459395669e-06,3.298733663240145e-05,5.07159446999317e-05,0.0,1.1993266386046112e-05,0.0,5.065148591047988e-05,5.1303315497019345e-05
30,100,28000.0,0.003533166129253126,4.5224206412010456e-32,4.5224206412010456e-32,0.0035254796952052248,0.003531264296683748,0.0035260783132824527,0.003531569407076269,0.0035319254424722446,7.424779793908306e-06,3.135824016041614e-05,4.919034009153746e-05,0.0,1.1530699608536091e-05,0.0,4.8698024899508054e-05,4.872607686061784e-05
30,100,29000.0,0.0035314859717570507,4.5224206412010456e-32,4.5224206412010456e-32,0.00352558711112318,0.003531378904103846,0.0035264582432178665,0.0035323043170560034,0.00353245902599383,7.15648890218872e-06,3.0312023344673597e-05,4.752667597636602e-05,0.0,1.107145548305415e-05,0.0,4.760860746508022e-05,4.684749268413572e-05
30,100,30000.0,0.003531924434892204,4.5224206412010456e-32,4.5224206412010456e-32,0.0035253858273104448,0.003531006037257624,0.003526100214805311,0.0035315056404166666,0.0035320948986165136,6.968731924007248e-06,2.9253667129105694e-05,4.555531766890722e-05,0.0,1.0884001102318262e-05,0.0,4.573083096167022e-05,4.542189808255314e-05
30,100,31000.0,0.003531435919300895,4.5224206412010456e-32,4.5224206412010456e-32,0.0035254574856918744,0.003531236354994843,0.003525719352926904,0.0035315185541931284,0.003531722618973154,6.788527273821185e-06,2.8418382038791832e-05,4.451652005424613e-05,0.0,1.0509850281798951e-05,0.0,4.413205746151532e-05,4.439186078004441e-05
30,100,32000.0,0.0035313399267643433,4.5224206412010456e-32,4.5224206412010456e-32,0.003525605653798057,0.0035314352973277612,0.0035261008004404174,0.003531726658237935,0.003531268375634128,6.489838008881132e-06,2.7288811035857014e-05,4.305092362359955e-05,0.0,1.0101089330153308e-05,0.0,4.272294699589261e-05,4.259157244680209e-05
30,100,33000.0,0.003531183328898977,4.5224206412010456e-32,4.5224206412010456e-32,0.003525489011658452,0.00353122966174884,0.003526336014530399,0.003532362893988795,0.0035314605035118036,6.3035452027264105e-06,2.6908535571558785e-05,4.182546164445012e-05,0.0,9.841396926084455e-06,0.0,4.149855414666505e-05,4.1833614710607385e-05
30,100,34000.0,0.0035309759613421357,4.5224206412010456e-32,4.5224206412010456e-32,0.003525478689279041,0.0035312139767340383,0.0035257072793848463,0.0035312120325566424,0.0035321108666441846,6.142177994781774e-06,2.588495363098709e-05,4.0892405475676026e-05,0.0,9.552930935497671e-06,0.0,4.026711207655184e-05,4.010853620771651e-05
30,100,35000.0,0.0035322231888682493,4.5224206412010456e-32,4.5224206412010456e-32,0.0035255058652587834,0.0035312708995190213,0.003525920831006257,0.003531602767217958,0.0035315901803216363,6.0127363907032696e-06,2.516639539484004e-05,3.9117452387935386e-05,0.0,9.370680330057808e-06,0.0,3.8936429356497365e-05,3.909117057328955e-05
30,100,36000.0,0.003531961250194845,4.5224206412010456e-32,4.5224206412010456e-32,0.003525550074380035,0.0035313980237204326,0.0035257488118781233,0.0035313260301527015,0.003531450916023449,5.784343818486956e-06,2.463504035808352e-05,3.7987765610175024e-05,0.0,9.000602311544702e-06,0.0,3.798072058215494e-05,3.824395285606645e-05
30,100,37000.0,0.003531426694011246,4.5224206412010456e-32,4.5224206412010456e-32,0.003525427986465013,0.003531206770409463,0.0035260116574417216,0.0035317668452751663,0.003531312508235145,5.6266578015519084e-06,2.3697607675033042e-05,3.708997142606518e-05,0.0,8.72321908408537e-06,0.0,3.681871746650287e-05,3.671061731992635e-05
30,100,38000.0,0.0035322825293006553,4.5224206412010456e-32,4.5224206412010456e-32,0.0035254533365155737,0.0035311686144033636,0.003526036940291764,0.0035318113924578762,0.0035320700877596316,5.479523773805834e-06,2.338839736710378e-05,3.6473799649717395e-05,0.0,8.532935141363643e-06,0.0,3.630525374583801e-05,3.6121440200383064e-05
30,100,39000.0,0.00353168838200217,4.5224206412010456e-32,4.5224206412010456e-32,0.0035254755042339056,0.0035311932421620354,0.003526031200267426,0.003531963440524425,0.00353182825167235,5.345569840732366e-06,2.2549392406302748e-05,3.499353275333016e-05,0.0,8.325948921195814e-06,0.0,3.464890040219758e-05,3.488921477690676e-05
