d,n,lamb,pp_baseline_test_mean,unreg_pp_baseline_test_mean,unreg_jorg_baseline_test_mean,pp_train_mean,pp_test_mean,jorg_train_mean,jorg_test_mean,jorg_baseline_test_mean,pp_train_std,jorg_train_std,pp_baseline_test_std,unreg_pp_baseline_test_std,pp_test_std,unreg_jorg_baseline_test_std,jorg_baseline_test_std,jorg_test_std
30,100,0.01,731177456377.5258,1.6939892767318425e-31,1.6939892767318425e-31,632224421.8160115,629335420.7667775,800282995.1270654,796676521.7694584,732874126895.0282,712840021.8783625,950503910.721235,846388435469.014,0.0,722267369.0469825,0.0,826927686573.1476,950413575.6229681
30,100,0.1,812111943.031336,1.6939892767318425e-31,1.6939892767318425e-31,697063.6390435463,690471.074605467,799920191.5242869,796795373.3164985,807913215.7934742,809135.5458262215,923492169.545094,927247573.7274799,0.0,808788.354052687,0.0,933925999.9287783,925039605.5067544
30,100,0.5,7257519.6003727615,1.6939892767318425e-31,1.6939892767318425e-31,6253.871636677873,6209.383436187783,7251709.743824423,7210095.80322606,7310202.694800838,7009.526487510857,8391062.696423862,8285026.820808418,0.0,7012.094047566728,0.0,8285439.143953781,8426533.602116248
30,100,1.0,1007852.8799057339,1.6939892767318425e-31,1.6939892767318425e-31,874.2032876531191,867.9998758457783,988988.9614841152,986412.6571366737,969997.8616682097,1025.7954480688436,1169160.429966512,1171089.925843222,0.0,1022.8711706135053,0.0,1134130.471913569,1175480.8411474358
30,100,3.0,45651.984509834554,1.6939892767318425e-31,1.6939892767318425e-31,39.411656556166456,39.09952738014902,45581.14467233556,45253.566276086625,46776.22259304816,45.84304004005509,52620.5249282034,53117.67268876401,0.0,45.915965967651545,0.0,54246.492465550524,52703.64592421511
30,100,5.0,11266.486944882623,1.6939892767318425e-31,1.6939892767318425e-31,10.084251377551855,10.036370520429065,11564.0464559567,11498.294229498862,11242.934172184549,11.72656097512557,13679.885587562474,12866.39080002374,0.0,11.832539172272664,0.0,12890.640962456666,13721.615917562518
30,100,10.0,1772.0409292780291,1.6939892767318425e-31,1.6939892767318425e-31,1.531385802030698,1.5257662587862735,1788.41233542893,1780.1719489102595,1752.9308386489984,1.781624291963486,2050.062531102405,1991.187197985138,0.0,1.7947903455329999,0.0,2052.672870462478,2056.144833984904
30,100,15.0,603.6675759889899,1.6939892767318425e-31,1.6939892767318425e-31,0.5492356072368895,0.547211172218232,620.65938466356,617.3833262101186,623.6293452059722,0.6270318037465098,720.6614429128642,702.8756929395312,0.0,0.6308310290209052,0.0,728.2845215956088,717.9909067050328
30,100,20.0,298.40670214393305,1.6939892767318425e-31,1.6939892767318425e-31,0.26126301164819515,0.2587156211424702,293.4634895277456,292.8473434451839,292.18032885598365,0.3011912211864051,335.7446751035644,345.72011723775114,0.0,0.3001502301690718,0.0,336.8214768292248,335.9073106370905
30,100,25.0,166.64474428131814,1.6939892767318425e-31,1.6939892767318425e-31,0.1464571962186173,0.1441569044923753,168.54753362785002,167.15493946807197,168.01895224333254,0.15929742884193124,193.45331486506515,191.75795319166352,0.0,0.15959826468799268,0.0,194.50947794868105,193.53549345735334
30,100,50.0,24.40107503160914,1.6939892767318425e-31,1.6939892767318425e-31,0.02590909086298285,0.024601223544574467,24.5639722611256,24.401479694047044,24.425741881216002,0.0268161211821118,27.995951410203862,28.40485811789212,0.0,0.02653486132584625,0.0,27.998102594527033,28.165455765058333
30,100,75.0,8.362297710899217,1.6939892767318425e-31,1.6939892767318425e-31,0.012749460290087103,0.011470014398704258,8.32357218547357,8.253557299289302,8.2284155316723,0.011333953561783808,9.538482959644076,9.811450022779804,0.0,0.011054349485177096,0.0,9.479545934039654,9.475069286366605
30,100,100.0,3.947721840111212,1.6939892767318425e-31,1.6939892767318425e-31,0.009031007548651436,0.007774042517754191,3.977334615831727,3.9414606618007455,4.034115873585922,0.006675392912016941,4.4848506685955964,4.627976874953312,0.0,0.006421221689110208,0.0,4.64242104362985,4.48304106357775
30,100,200.0,0.7956039202256822,1.6939892767318425e-31,1.6939892767318425e-31,0.00662317910988075,0.005357362725359802,0.8126606046527062,0.8070426990972012,0.7825521019394213,0.0027020885515733344,0.9656216900959386,0.9112717186724208,0.0,0.0025691693035146544,0.0,0.9013355793717964,0.9630286324848562
30,100,300.0,0.3302775389942013,1.6939892767318425e-31,1.6939892767318425e-31,0.006241278806985133,0.004967019271204849,0.33456199534449943,0.33223470553407436,0.3267435314814028,0.001655405709995233,0.38738467774564306,0.3824393765827391,0.0,0.001559776321324772,0.0,0.38733653147404495,0.388956589414226
30,100,400.0,0.17648742309393953,1.6939892767318425e-31,1.6939892767318425e-31,0.006172054413349453,0.004898637531246886,0.17910972520041515,0.17695824432814516,0.17648982271356362,0.0012156361133531036,0.20424230418496175,0.20271837903579676,0.0,0.0011477455444531676,0.0,0.20096180767835287,0.20506084588882562
30,100,500.0,0.112104427491013,1.6939892767318425e-31,1.6939892767318425e-31,0.006158058970296752,0.004879376997194325,0.11317344646496831,0.111181515798029,0.11276390330845916,0.0009570525590830675,0.12490001311058148,0.12741516106466655,0.0,0.0009016252560641175,0.0,0.13022421892788177,0.12414018865796086
30,100,600.0,0.07635450320838956,1.6939892767318425e-31,1.6939892767318425e-31,0.006122294628049864,0.004843135111737969,0.0794827755396793,0.07796605743818182,0.07856001881909568,0.0007875800327842139,0.08702965472925803,0.08669617967807379,0.0,0.00074332403535278,0.0,0.08859835612238691,0.08707305241107054
30,100,700.0,0.05758801287665651,1.6939892767318425e-31,1.6939892767318425e-31,0.006110421291752924,0.0048285803086173616,0.058478990043246235,0.05704722531097057,0.05805556081140596,0.0006574640801095172,0.0647516188559711,0.06324010606298072,0.0,0.000622349871362738,0.0,0.06444353831304904,0.06430348033010447
30,100,800.0,0.04439254700308238,1.6939892767318425e-31,1.6939892767318425e-31,0.006109964466864792,0.004829885293818796,0.04571186481815496,0.04414493884306346,0.04483683723803532,0.0005814705615856993,0.05035727213904929,0.04852822916746331,0.0,0.0005474000135274902,0.0,0.04956462460025703,0.04983264628437431
30,100,900.0,0.035855703419880466,1.6939892767318425e-31,1.6939892767318425e-31,0.006117480677294978,0.004835992933200771,0.037449471279441766,0.03593475589675957,0.035815911842345276,0.0005135946228190186,0.041942102499353054,0.039491583013791264,0.0,0.0004826098128161516,0.0,0.03969778893298433,0.04137500640882045
30,100,1000.0,0.0297007569448592,1.6939892767318425e-31,1.6939892767318425e-31,0.0061167847671155795,0.004834602129814526,0.031351241556278636,0.029891618323757047,0.030594588864911093,0.00046993220962759555,0.0328817916408147,0.03305654809519868,0.0,0.00044225616809087746,0.0,0.03276875919686093,0.032460723221294244
30,100,1500.0,0.016315230314662876,1.6939892767318425e-31,1.6939892767318425e-31,0.006119796245134158,0.004835626268307501,0.017163073408201987,0.01586543891571492,0.015895001460553577,0.0003050556899236204,0.01662603445247483,0.017146410251153345,0.0,0.0002871846865085753,0.0,0.016195934489808484,0.016336382493763818
30,100,2000.0,0.010982183093604598,1.6939892767318425e-31,1.6939892767318425e-31,0.006121507864650783,0.004837591516085966,0.012171913449633556,0.010853558268138228,0.010901286793695682,0.0002292158440821671,0.010366964493361042,0.01034336321036839,0.0,0.00021665059022244997,0.0,0.010261295161014247,0.01004511222413797
30,100,2500.0,0.008834598711563127,1.6939892767318425e-31,1.6939892767318425e-31,0.006123968798005516,0.00484023500044464,0.009874649779322384,0.008595672363146664,0.008688166881730092,0.00018754327198995468,0.007526888507236507,0.007729710233844054,0.0,0.00017581150561200618,0.0,0.00735821539986394,0.007263409279818686
