N_train_frac,lamb,unreg_pp_test_mean,unreg_nonpp_test_mean,reg_pp_test_mean,reg_nonpp_test_mean,unreg_jorg_max_test_mean,unreg_jorg_avg_test_mean,type1_nonpriv_loss,reg_jorg_max_test_mean,reg_jorg_avg_test_mean,type2_nonpriv_loss,unreg_pp_test_std,unreg_nonpp_test_std,unreg_jorg_max_test_std,unreg_jorg_avg_test_std,reg_pp_test_std,reg_nonpp_test_std,reg_jorg_max_test_std,reg_jorg_avg_test_std,unreg_pp_baseline_test_mean,unreg_jorg_baseline_test_mean,jorg_baseline_test_mean,unreg_pp_baseline_test_std,unreg_jorg_baseline_test_std,jorg_baseline_test_std,unreg_theta_hat_pp_norm,unreg_theta_hat_nonpp_norm,reg_theta_hat_pp_norm,unreg_theta_hat_jorg_max_norm,unreg_theta_hat_jorg_avg_norm,reg_theta_hat_jorg_max_norm,reg_theta_hat_jorg_avg_norm
107,0.01,11870976.04088739,9382488443.779333,12119239.003562821,9427329923.691153,14803814.497871371,27303960.269024774,0.011180058594458843,14956160.598028088,28591666.770834316,0.012465075386706893,12657011.581887877,10023334227.31694,15768880.227535898,29291909.344550565,12575000.113337794,10020138219.025537,15846045.330642326,30470059.0240373,0.011180058594458838,0.01118005859445884,9121292649.201504,3.469446951953614e-18,3.469446951953614e-18,9642986470.241892,5310.073728038468,148543.89551634926,148080.35836699783,5932.111111742164,8131.403804323773,5911.418006940545,8184.041065486927
107,0.05,99830.05187988112,78283210.4125697,114033.19498310916,89624999.26895475,126732.88157638178,239177.85651833247,0.011180058594458843,141852.79352352506,272747.38635572756,0.01639986019873887,106523.95669575296,84420704.2565916,132748.1612930025,249676.68873164282,112430.76263654308,87983835.49108134,141616.64720555258,274192.60618403024,0.011180058594458838,0.01118005859445884,78268831.02080786,3.469446951953614e-18,3.469446951953614e-18,82147183.11746217,490.30975337921353,13661.859288927237,13657.852547037328,548.4837032955951,757.2649966243436,546.3813622109005,756.4869161539231
107,0.1,13132.163704872939,10216093.63652283,16469.74679335124,13016687.38128073,16580.96224431397,31879.744272833123,0.011180058594458843,20521.82842056565,39595.44780937325,0.020097962632787597,14435.670505829328,11054098.409059465,17767.751621765274,34202.53791154868,14670.80898790978,11512172.494684141,19363.298150421153,37019.50789095154,0.011180058594458838,0.01118005859445884,10446053.514911653,3.469446951953614e-18,3.469446951953614e-18,11068497.378527626,177.71862526659953,4956.633267373797,4963.943124394102,199.03585977194984,274.0485168892289,198.33438043521875,273.9225359838815
107,0.5,130.63454521134727,99439.19812892802,295.0478538599007,230176.90325872312,159.14652698442845,302.8565082592717,0.011180058594458843,370.26695402665837,708.1417935746173,0.0349513877267766,139.85483428537154,103240.64574926502,163.23233179312115,331.3920722080055,208.8273968864334,162277.44825620533,268.81862870720647,501.70912348711045,0.011180058594458838,0.01118005859445884,100659.60098699172,3.469446951953614e-18,3.469446951953614e-18,107294.25807330864,17.580170392018587,489.9830451886561,490.136882147379,19.677581202705692,26.93827881575916,19.610047086642467,27.1045994515508
107,0.6,77.2828699752254,59427.05500600291,200.5213611934717,154400.6386124537,98.05299300612317,183.33797940057954,0.011180058594458843,245.9756307745182,465.29919768672966,0.03705760749683759,82.04146006541806,61666.81301481849,103.7184397838888,197.68063762025838,136.62598681960006,104627.17585811407,171.01718244051017,317.4474375597947,0.011180058594458838,0.01118005859445884,59367.42936609204,3.469446951953614e-18,3.469446951953614e-18,61802.68628492616,13.61155167817225,378.6707743831173,380.0586818242249,15.191053970778611,20.82912912297643,15.143416814724208,20.848073932628097
107,0.7,50.047840515149026,38685.76715315763,140.3572915160447,109900.88750975237,62.86971226218496,119.63842838635023,0.011180058594458843,175.763666951642,332.8535376539485,0.03887979860375286,53.16282926424693,40787.12639686159,67.78530094113957,125.95661739128221,93.35087922814957,73193.94713646655,115.21978276756562,225.27051560244016,0.011180058594458838,0.01118005859445884,38526.963943490155,3.469446951953614e-18,3.469446951953614e-18,41797.1732504703,10.939284343579487,303.89612690232883,305.9191605333486,12.204787789994164,16.833406335480205,12.236187926644613,16.786794162114408
107,0.8,34.958783538841814,27028.941313354575,105.76813080714378,82139.01054487271,43.330778975109794,81.18481502084299,0.011180058594458843,132.81522285621267,252.60562304483895,0.040485086175094456,37.393420187878974,28774.474599662033,45.37844407319568,85.54041645199895,71.12230991630231,53372.11115163085,87.504328850945,165.9785643059471,0.011180058594458838,0.01118005859445884,26845.544408082907,3.469446951953614e-18,3.469446951953614e-18,28455.790285376366,9.096040837978121,253.51164256277178,252.52154875222007,10.121185058609099,13.942115762336767,10.148687850546873,14.017855169700715
107,0.9,24.761264731951144,19329.127657887482,82.53905753403912,63824.71163998251,31.196937467451463,57.852675344067045,0.011180058594458843,103.46492407247575,194.52064451776465,0.041919263672660446,26.09754999196544,20627.38073687648,33.16223606968512,59.093468181742054,52.39797813328092,39945.754602566696,68.4066207694738,125.6505617092817,0.011180058594458838,0.01118005859445884,19383.544639167114,3.469446951953614e-18,3.469446951953614e-18,20642.05777426931,7.712916854936708,214.29811414251552,214.61040912661105,8.633455103441054,11.832473185250702,8.590808743595876,11.804176339011802
107,1.0,18.34601639476539,14455.671058885418,66.39927662909531,52134.94097358315,22.99405603150115,44.194907740109,0.011180058594458843,83.11915415172449,156.928409495717,0.04321486440619305,19.216262556312948,15112.035384801333,24.917871716259167,48.3189118620892,43.45174902390626,33371.7807563321,54.891144016228594,100.18237229769666,0.011180058594458838,0.01118005859445884,14333.142225294805,3.469446951953614e-18,3.469446951953614e-18,14900.254243684383,6.639290870760283,184.78167686509403,186.0985849346512,7.400252866400141,10.19259197219074,7.417788697585319,10.226948642510095
107,2.0,2.7901699804131423,2134.0808382750115,16.96156051763876,13216.275696853545,3.537365031351969,6.477613014494969,0.011180058594458843,21.32800061628714,40.258884050250856,0.05189536519282771,2.8810988557985353,2203.2001230668875,3.8581094584305755,6.8980600786101745,10.30959611097168,8009.6428255713645,13.114002784326564,24.28628616965884,0.011180058594458838,0.01118005859445884,2123.5915448255582,3.469446951953614e-18,3.469446951953614e-18,2257.355211804436,2.566387328151279,71.55724203247509,71.60100726778076,2.879235742872511,3.9268811171430156,2.8653934084637793,3.945301679142543
