eps_c,eps_m,lamb,unreg_pp_test_mean,unreg_nonpp_test_mean,reg_pp_test_mean,reg_nonpp_test_mean,unreg_jorg_max_test_mean,unreg_jorg_avg_test_mean,type1_nonpriv_loss,reg_jorg_max_test_mean,reg_jorg_avg_test_mean,type2_nonpriv_loss,unreg_pp_test_std,unreg_nonpp_test_std,unreg_jorg_max_test_std,unreg_jorg_avg_test_std,reg_pp_test_std,reg_nonpp_test_std,reg_jorg_max_test_std,reg_jorg_avg_test_std,unreg_pp_baseline_test_mean,unreg_jorg_baseline_test_mean,jorg_baseline_test_mean,unreg_pp_baseline_test_std,unreg_jorg_baseline_test_std,jorg_baseline_test_std,unreg_theta_hat_pp_norm,unreg_theta_hat_nonpp_norm,reg_theta_hat_pp_norm,unreg_theta_hat_jorg_max_norm,unreg_theta_hat_jorg_avg_norm,reg_theta_hat_jorg_max_norm,reg_theta_hat_jorg_avg_norm
0.01,0.05,0.01,372162.5671814779,296894518.2331802,383750.2910500692,307114362.8512382,483815.9932695482,1717279.5416325182,0.00943378455712119,508193.32866237295,1789906.5655497308,0.010822223593111108,398619.9086479811,310972199.2678205,511532.83141022234,1790770.401976359,396761.4813645087,311623116.08915937,528225.137749059,1881967.5294422028,0.009433784557121187,0.009433784557121187,299723133.87464654,3.469446951953614e-18,3.469446951953614e-18,321670937.15706444,939.5131474798537,26743.74016694043,26728.82457770803,1077.367524048302,2035.6390384981714,1083.2220201758457,2037.2756011275098
0.01,0.05,0.05,3207.1393851720845,2568727.2624896104,3607.140034932463,2877045.994026158,4233.908614363531,14844.276067983368,0.00943378455712119,4836.695530857069,16983.104804060767,0.015080895797001607,3312.0402983161957,2754282.9077902273,4557.008955889595,15882.372557265127,3500.4396441038634,2748788.7893702774,4770.5993716617795,16713.883769237025,0.009433784557121187,0.009433784557121187,2577752.762287385,3.469446951953614e-18,3.469446951953614e-18,2728187.3311464353,87.4631390511186,2481.6979736476405,2461.896517337591,100.79371863735737,188.96908622891186,100.88839875223483,189.58496602019565
0.01,0.05,1.0,0.6196922920218464,475.2193091766273,2.1478865236921374,1686.9694478450872,0.7949112636028198,2.7274941404549446,0.00943378455712119,2.844563367001215,9.801919920282298,0.04304173826360708,0.6309411907423764,494.82239293946003,0.8113056161956701,2.8338905079911303,1.3273291217379892,1086.5132071332785,1.7910232106497237,6.208920342650996,0.009433784557121187,0.009433784557121187,469.9792978213413,3.469446951953614e-18,3.469446951953614e-18,492.69339377750816,1.1861965563934656,33.56246214928463,33.498651249709944,1.3575779604354277,2.561396343205984,1.3683522138643702,2.5486904897291875
0.01,0.05,3.0,0.07602327395534644,23.28690502177933,0.31209070365525915,207.00162909072776,0.08512586612462653,0.18334129640765076,0.00943378455712119,0.39796022496412975,1.2535749351038656,0.0568810287024058,0.045600622518410454,24.139728569257688,0.05558518537001969,0.16042034943972808,0.15381931361364973,122.70503055996916,0.2071672640988885,0.7224732235036055,0.009433784557121187,0.009433784557121187,24.01217986468541,3.469446951953614e-18,3.469446951953614e-18,25.45817124348855,0.27203715510752474,7.515596651951068,7.512043051329608,0.31017345037858995,0.5771680680727771,0.31047432690819177,0.5733442668989998
0.01,0.05,5.0,0.06111914009601733,6.267749621783596,0.17024810582297006,85.38647154262566,0.06406991005783005,0.0885390584382236,0.00943378455712119,0.20317170442824772,0.5620454234229724,0.06266437614339582,0.02040122367182509,6.592748950423404,0.02487669579221304,0.05595207918650865,0.06326504318355532,50.84274283633355,0.08433111845794614,0.29242498501065306,0.009433784557121187,0.009433784557121187,6.099374066460819,3.469446951953614e-18,3.469446951953614e-18,6.548394642371615,0.14114584975754388,3.8337243908410126,3.8232808315115085,0.16047694330180948,0.294768489599973,0.16074766173151014,0.2956210544588688
0.01,0.05,7.0,0.06139422929441897,2.589552856311037,0.12669711273635847,49.282470473098904,0.06241187793806878,0.07275994019587304,0.00943378455712119,0.14689328176849092,0.3515433278036838,0.06595936158943126,0.014119941113375578,2.6818122940684397,0.016265064054210788,0.033967014206606985,0.036543558943288146,28.94113233982498,0.048283286422015015,0.16891892879201212,0.009433784557121187,0.009433784557121187,2.585477524021279,3.469446951953614e-18,3.469446951953614e-18,2.6549978553917204,0.09317459960550001,2.476569767738978,2.479463555442783,0.10577290835312587,0.19219916011455188,0.10583114001318418,0.1918912765455375
0.01,0.05,10.0,0.06399678050011773,1.079217909346928,0.10322237794601286,27.78241953151267,0.06418575832076316,0.0687950699619179,0.00943378455712119,0.11467592787467047,0.23011151493858306,0.06891553072129404,0.009332589518396859,1.1155072147131215,0.011075733582316833,0.021673668786237735,0.02018823995938338,16.325823322352395,0.028020838629130077,0.09578148256152484,0.009433784557121187,0.009433784557121187,1.1022086016270785,3.469446951953614e-18,3.469446951953614e-18,1.1209751525689378,0.06073375133372468,1.571705474989938,1.5699183021035468,0.06862528399280196,0.12246699188679172,0.06832787924511662,0.12233093235363114
0.01,0.05,15.0,0.06715920447892382,0.40536590561637814,0.0883040186474846,13.666941786114299,0.06743534032566606,0.06857501925631479,0.00943378455712119,0.09392637054849319,0.14954081300286165,0.07159309164097061,0.0057395957290687525,0.3957860560270479,0.006632383361255128,0.01243770494409881,0.009845084999412756,7.925852952633902,0.0131813231246318,0.04578678344721073,0.009433784557121187,0.009433784557121187,0.4116826796543203,3.469446951953614e-18,3.469446951953614e-18,0.4065909006325571,0.03639031298259019,0.9003872107599186,0.9036561966404204,0.040624230661380795,0.07082140589074111,0.04078004342885672,0.07069606915936555
0.01,0.05,20.0,0.06934870241842594,0.21909913734647835,0.083016917733515,8.00176595743789,0.06940633599438473,0.07015709343613209,0.00943378455712119,0.08619355425856295,0.11935936422820205,0.07308463650114533,0.003905496295645545,0.1951563318558648,0.00445906043655395,0.008563063871352831,0.005714313132592008,4.625377092704758,0.007694684273729891,0.027334943034345967,0.009433784557121187,0.009433784557121187,0.22346123746140711,3.469446951953614e-18,3.469446951953614e-18,0.19671840792936965,0.02532614885253486,0.6036834644276351,0.5996402818362232,0.027997635599919465,0.04769800245364027,0.028048159025889863,0.04787374143668765
0.01,0.05,30.0,0.07195821767176572,0.12179702375494143,0.07972733159623213,4.096021184775636,0.07202961323591639,0.07215070575666656,0.00943378455712119,0.08138324681083502,0.09815938705171645,0.07469567138518557,0.0023786295420523797,0.08344448715307105,0.0027590478656343287,0.005178736327979049,0.00293304975400117,2.365411168481798,0.003988466414460596,0.013978422948685662,0.009433784557121187,0.009433784557121187,0.12326999090954616,3.469446951953614e-18,3.469446951953614e-18,0.08836568840034377,0.015661801256613917,0.34997726616978675,0.3497118466170381,0.01716245077860796,0.028470964909814392,0.017175073262259078,0.02835767916080475
