N_train_frac,lamb,unreg_pp_test_mean,unreg_nonpp_test_mean,reg_pp_test_mean,reg_nonpp_test_mean,unreg_jorg_max_test_mean,unreg_jorg_avg_test_mean,type1_nonpriv_loss,reg_jorg_max_test_mean,reg_jorg_avg_test_mean,type2_nonpriv_loss,unreg_pp_test_std,unreg_nonpp_test_std,unreg_jorg_max_test_std,unreg_jorg_avg_test_std,reg_pp_test_std,reg_nonpp_test_std,reg_jorg_max_test_std,reg_jorg_avg_test_std,unreg_pp_baseline_test_mean,unreg_jorg_baseline_test_mean,jorg_baseline_test_mean,unreg_pp_baseline_test_std,unreg_jorg_baseline_test_std,jorg_baseline_test_std
1651,0.01,8253.567077885213,21312646.966545656,8860.546118332333,21838137.65111341,10755.909577821618,19620.14353986339,0.5153148606039255,11278.27511964927,20720.94829437921,0.9011045616242521,12213.98372887805,32131343.757972714,16029.87887626191,28909.91873237075,12503.293363988018,31493121.388657216,16198.371424897003,29650.143929251415,0.5153148606039261,0.5153148606039257,21105977.51487202,1.1102230246251565e-16,2.220446049250313e-16,31117982.810772937
1651,0.05,76.36794368975134,183298.29845118464,91.0549300370504,226441.36942483168,92.32308320319818,171.31831199806473,0.5153148606039255,117.26090651332214,220.19285735663073,1.262256159567558,108.43756940165217,267477.86999599444,133.17463931918098,252.02086158058535,114.59200237421986,291986.5476862353,147.0240612685226,283.16615213259917,0.5153148606039261,0.5153148606039257,184025.0113334436,1.1102230246251565e-16,2.220446049250313e-16,273329.3235127835
1651,0.1,10.816249680978506,23492.180112898946,15.820861559971515,35583.29499274758,13.128833034884694,23.514126121490424,0.5153148606039255,19.48677561757438,34.924948599868,1.454352669500073,14.167120433302724,34546.14822033901,17.982410980031883,34.251983623529206,16.091128839279136,39419.46547492916,19.684081611323045,37.01988807908942,0.5153148606039261,0.5153148606039257,23833.52407293147,1.1102230246251565e-16,2.220446049250313e-16,34794.184339418374
1651,0.5,1.6260134678636848,242.41984238522863,2.6179397830990285,816.4893546609107,1.664785960168552,1.7450871751922732,0.5153148606039255,2.695355776303436,3.041065266608639,2.2775254412035224,0.3425604380286572,360.74746934582146,0.3991556684389682,0.5669376409703725,0.2675996074117082,640.6786218454862,0.33029198785986325,0.5940544844281421,0.5153148606039261,0.5153148606039257,244.79601856249693,1.1102230246251565e-16,2.220446049250313e-16,356.5550381871835
1651,1.0,1.950151805939943,37.274109803971925,2.9916403017930016,205.0012724205732,1.962278412629614,1.960465807775396,0.5153148606039255,3.0143686285275937,3.10188989660863,2.909178237671367,0.18515720501218916,52.809081333603565,0.21081070504934007,0.28006697125708396,0.05898104752837472,144.03799461726985,0.07490639332861711,0.14130486393730876,0.5153148606039261,0.5153148606039257,37.82797038822456,1.1102230246251565e-16,2.220446049250313e-16,54.07926207598079
1651,2.0,2.624711701860027,7.858559816286113,3.6762761355209057,59.68366587582774,2.633758951289094,2.6158741973321007,0.5153148606039255,3.6822828061926565,3.7059741861132016,3.652274644155038,0.10249934974635876,9.474495501386077,0.11645218281793478,0.15650089398684144,0.017031041157027683,38.947944227102205,0.02072229227618931,0.03691769144499224,0.5153148606039261,0.5153148606039257,8.059683495517897,1.1102230246251565e-16,2.220446049250313e-16,9.517721434641961
1651,3.0,3.123876624731925,4.919453320914492,4.089597833441358,31.80960705055348,3.1285088927839197,3.1133199585423377,0.5153148606039255,4.092909625258138,4.104767162750432,4.077599754070743,0.0708769587397158,4.4075111328403755,0.07978107325423779,0.10793835253272731,0.00842332287050281,18.905750019435224,0.010863166219678604,0.01916960727728475,0.5153148606039261,0.5153148606039257,4.9980215771104834,1.1102230246251565e-16,2.220446049250313e-16,4.4694539114008425
1651,5.0,3.7650864760230776,4.2281851123011345,4.551964418545515,16.621105480032522,3.7696069998146813,3.7568890642950903,0.5153148606039255,4.5534176748615645,4.558158474119282,4.546625129463814,0.04195321616498346,2.1769950262944673,0.04934784162134575,0.06419019347045567,0.003694300144554526,8.288976708526494,0.004609853340435275,0.007912940831649238,0.5153148606039261,0.5153148606039257,4.206604801551052,1.1102230246251565e-16,2.220446049250313e-16,2.1450443532500425
1651,7.0,4.151162043601498,4.334119646829298,4.802927980576526,11.768369399879239,4.154510522033073,4.145002180698343,0.5153148606039255,4.8038741422658875,4.806556446961555,4.7997691352028475,0.029318903150653493,1.4885111698471525,0.03487239874531664,0.04528144421709339,0.0022010026276509304,4.744753347178455,0.0027923010900852583,0.0048152268323672035,0.5153148606039261,0.5153148606039257,4.350812158272553,1.1102230246251565e-16,2.220446049250313e-16,1.48108388951989
1651,10.0,4.504743775111725,4.5719515354486004,5.018886534535473,8.937422355816222,4.507694847478658,4.499457918189165,0.5153148606039255,5.01947577810865,5.020898633800397,5.017104947463544,0.019243963137184458,0.9595822675349347,0.023878981178772893,0.030079772521536024,0.0012434633924675693,2.7072268371842005,0.001588543734429406,0.0026363545142355383,0.5153148606039261,0.5153148606039257,4.609379660006109,1.1102230246251565e-16,2.220446049250313e-16,0.9663528224909309
1651,15.0,4.828881671309457,4.8511225906344775,5.206634739911386,7.030453817051154,4.830774264404715,4.825574812513155,0.5153148606039255,5.206937028644141,5.207519979096308,5.2057377054653555,0.011224327992139026,0.5776316678217078,0.014947489038372997,0.018240008553149282,0.0006246692203221659,1.264293571061677,0.000825967345263209,0.0012632479161524186,0.5153148606039261,0.5153148606039257,4.847408239188973,1.1102230246251565e-16,2.220446049250313e-16,0.5631588650015913
