lamb,unreg_pp_test_mean,unreg_nonpp_test_mean,reg_pp_test_mean,reg_nonpp_test_mean,unreg_jorg_max_test_mean,unreg_jorg_avg_test_mean,type1_nonpriv_loss,reg_jorg_max_test_mean,reg_jorg_avg_test_mean,type2_nonpriv_loss,unreg_pp_test_std,unreg_nonpp_test_std,unreg_jorg_max_test_std,unreg_jorg_avg_test_std,reg_pp_test_std,reg_nonpp_test_std,reg_jorg_max_test_std,reg_jorg_avg_test_std,unreg_pp_baseline_test_mean,unreg_jorg_baseline_test_mean,jorg_baseline_test_mean,unreg_pp_baseline_test_std,unreg_jorg_baseline_test_std,jorg_baseline_test_std,unreg_theta_hat_pp_norm,unreg_theta_hat_nonpp_norm,reg_theta_hat_pp_norm,unreg_theta_hat_jorg_max_norm,unreg_theta_hat_jorg_avg_norm,reg_theta_hat_jorg_max_norm,reg_theta_hat_jorg_avg_norm
0.01,119123.76052139452,218451658.7119908,121982.635832111,231062593.84891725,150225.54241512754,287113.9510879677,0.00943378455712119,151560.198990605,292975.99314596894,0.010822223593111108,124696.82066934819,227339108.1867102,157574.53965529925,312284.63860739575,125389.1694515988,240795711.53259376,156071.1786055918,301206.3888511055,0.009433784557121192,0.009433784557121187,221078105.5777146,0.0,3.469446951953614e-18,233154204.65542316,534.1628769913727,22937.897178151416,23021.835780567188,598.3275599820321,822.3999703258108,597.2025547715037,824.3046114881745
0.05,1026.2132020377665,1892073.350952146,1155.1416577824082,2120995.4463288384,1259.4597186756257,2426.3693409261587,0.00943378455712119,1417.238683854651,2753.285075475396,0.015080895797001607,1076.245801837013,1980297.0109741907,1324.0430220185356,2595.400413607115,1127.9124739039378,2085823.5108023502,1366.393429049282,2758.907039985876,0.009433784557121192,0.009433784557121187,1898761.1972529835,0.0,3.469446951953614e-18,2065957.6274317007,49.33525242169577,2128.4142024005628,2113.997150527123,54.897585021684705,75.94550326388405,55.00744083079875,76.19677781099406
0.1,133.65619232850864,248890.69829160167,169.50638054377256,308039.75751711795,165.55533611507494,313.74610402679366,0.00943378455712119,210.65040940081985,400.0945314811618,0.01903183733248371,137.7966164635091,263580.06741186336,175.4654170966605,328.03872644269677,154.2194670665322,279910.84732706763,195.93281641721632,374.8667570609841,0.009433784557121192,0.009433784557121187,242321.3956064229,0.0,3.469446951953614e-18,253763.81326836228,17.891793978644976,769.8172308483238,768.536828012423,19.898423552620468,27.551427701274985,19.951859523798042,27.505934486654517
0.5,1.304929688055758,2398.0172559031485,3.0290127035290424,5516.538990441208,1.6729608299565748,3.0957082087663195,0.00943378455712119,3.8026390572470277,7.194656848603248,0.03455571504768608,1.3520848010736677,2540.995829515332,1.7785803650015837,3.260061633983415,2.0993621230536417,3856.874254224635,2.730835978210895,4.992494998693884,0.009433784557121192,0.009433784557121187,2405.976355454904,0.0,3.469446951953614e-18,2519.0540772235568,1.7744095395976691,75.77512124727676,75.88476481231586,1.9804750821039185,2.7194952519642723,1.9860392290268756,2.730216016598529
0.6,0.8097730474390193,1466.6683991192538,2.0231698588544917,3653.4235616003966,0.9876974967035896,1.8529069303168184,0.00943378455712119,2.4959097527192875,4.756893879500443,0.0367276866714776,0.8327305517759318,1517.0851753696481,1.021510041929252,1.9614232764904616,1.360094665384007,2505.3344103977774,1.6279616153505958,3.2128346472018214,0.009433784557121192,0.009433784557121187,1448.5340345954255,0.0,3.469446951953614e-18,1526.791702804318,1.373537708620577,58.95489203080396,58.41901291853602,1.5296372285665696,2.1026279858750803,1.5271254865638315,2.107842705871417
0.7,0.5288665218297135,925.5469823812186,1.4712498063281259,2607.4558711373074,0.6549625704223901,1.2286472295881847,0.00943378455712119,1.8041788507381458,3.4349157363542937,0.038601776052359385,0.531414025235571,953.221783296026,0.6889694636903587,1.2600314937818,0.9538886861044452,1743.3094734076326,1.1594057458021259,2.254171217074135,0.009433784557121192,0.009433784557121187,933.0584334531173,0.0,3.469446951953614e-18,1003.4862719600739,1.1055753053398107,47.1410560091981,47.09891641346547,1.2295585001386011,1.709082315838659,1.2350251376244432,1.7039422735627798
0.8,0.3777472118729538,636.2941377868727,1.108383100453304,1978.2064128121544,0.4645290371713078,0.8707210094360754,0.00943378455712119,1.3856548996825884,2.6310456568403886,0.04024894883378104,0.36404718562076493,659.6558643321234,0.46577014993530735,0.8963235948097948,0.6926722329780531,1329.2480370941505,0.9049730401578332,1.7275717638198405,0.009433784557121192,0.009433784557121187,627.0302072934285,0.0,3.469446951953614e-18,644.9217562937486,0.9241039706584162,39.09229177740548,39.17950555408986,1.0286725976759674,1.4175806143958773,1.0273658908502699,1.4210878035252619
0.9,0.27825623898061685,459.4889037205193,0.8785896832890845,1540.385940232667,0.341798423659697,0.6297133026311474,0.00943378455712119,1.076116507662787,2.025669582110226,0.04171751441182736,0.2674056776096137,489.77875852498516,0.3426550086105127,0.6457554585292865,0.5389869995150794,988.5690629137378,0.6818383130458211,1.2803865455278358,0.009433784557121192,0.009433784557121187,463.245219831126,0.0,3.469446951953614e-18,491.6489730019434,0.7846601497827446,33.0774410796458,33.208853954973534,0.8723890913244601,1.1986699334871664,0.8680320229268486,1.1993712620743917
1.0,0.21542263954946803,344.64097096038563,0.7117970474587998,1239.4886916848313,0.260703239469854,0.47618312101314203,0.00943378455712119,0.8700593657050111,1.6248810002098486,0.04304173826360708,0.19843664058647348,361.82798539662156,0.2449050346688478,0.4706842036920068,0.4352564884773827,791.4220420551495,0.5266529824353655,1.0008908224901585,0.009433784557121192,0.009433784557121187,348.89696557745356,0.0,3.469446951953614e-18,361.9013254244367,0.6805669572215944,28.78671905985314,28.696862392027285,0.7520103989488326,1.0354786503156075,0.750560068780084,1.0324172276312755
2.0,0.06804279241616064,51.81115253921668,0.22620152027716517,318.95456919961146,0.07532117003988745,0.10622499204849412,0.00943378455712119,0.265256246885954,0.4594232510017892,0.05185794485511229,0.0396069692964954,54.104525051477985,0.04997618473062781,0.08042862253009536,0.10550558296180525,193.01405242624935,0.12808115783029309,0.24327401495733944,0.009433784557121192,0.009433784557121187,51.73200962152237,0.0,3.469446951953614e-18,56.27643099467668,0.2692063970711835,11.112636866987746,11.111066125666266,0.2994508901730918,0.40714510080800376,0.29830494474382885,0.40521923747770355
3.0,0.05517223263644464,17.344662753316825,0.13878289195168958,151.63249679609314,0.0572311965381558,0.06866624732304172,0.00943378455712119,0.15921186811664154,0.25174127750012215,0.0568810287024058,0.021096677691148185,18.307720613040836,0.023342918677088414,0.03839396538359125,0.04795985441086933,91.3376054543467,0.06153031272368812,0.11675326494312249,0.009433784557121192,0.009433784557121187,17.574265917797195,0.0,3.469446951953614e-18,18.808764866471435,0.16176609876329356,6.452699183482589,6.426622785460964,0.1788773087615712,0.23815634269609964,0.1779295632036857,0.2378963109075027
5.0,0.0554167711734789,4.49154476840605,0.09651273512091196,62.535326980299715,0.056125295669418755,0.05889732972221466,0.00943378455712119,0.10489147423613543,0.14322733343776556,0.06266437614339582,0.011110896406250754,4.815361497963003,0.012675692955025663,0.017802531589872984,0.020215471187231264,37.1248329077245,0.02504639778928397,0.047675932513239046,0.009433784557121192,0.009433784557121187,4.549837933718417,0.0,3.469446951953614e-18,4.911604904168233,0.0880260039052559,3.2648179859639495,3.272895002702341,0.0959501251924864,0.12532271000439596,0.09578282322682807,0.12526809654441756
7.0,0.05863154625603534,1.941086337372032,0.08542800165817695,35.72314046466974,0.058899561539829906,0.060160238719322606,0.00943378455712119,0.09023484977910048,0.11242040601180156,0.06595936158943126,0.007846061112395896,2.047405837810881,0.00868120838686068,0.012385751711362518,0.011559270473127813,21.086350108700596,0.014339314558489068,0.027469696658220164,0.009433784557121192,0.009433784557121187,1.9312074166978084,0.0,3.469446951953614e-18,1.9870900909483245,0.060242958854340646,2.1220547883116785,2.1104106060367225,0.06490396229928712,0.08389328288131565,0.06492900701315428,0.08347678665413326
10.0,0.06256652052475342,0.8158440125569069,0.07984693476632969,20.32381677133165,0.06258050307091105,0.0631948601297156,0.00943378455712119,0.08267851830343263,0.09509038951190553,0.06891553072129404,0.0052711012481044175,0.8227267597833035,0.005896478915681803,0.008173292229315374,0.006427811972636207,11.703348253875491,0.008111135141931632,0.015293183083378434,0.009433784557121192,0.009433784557121187,0.8203213786087242,0.0,3.469446951953614e-18,0.8312299773158924,0.04076432034746455,1.3454839218025954,1.343895046113201,0.043652750674489996,0.05464713059486122,0.04364476536576011,0.05471744972893474
